time,x,y,left_dist
961057.35,323.243587780952,221.677339505758,12.6554918289184
961087.7,327.278101942435,218.382767974214,12.7186346054077
961125.96,331.542660362133,220.241200219811,12.4975061416625
961152.85,325.908095969828,223.527951198567,12.924370765686
961184.37,326.512716409011,226.987086147021,12.6585817337036
961200.08,325.223672897348,226.440229004845,12.745714187622
961220.97,323.566697122911,231.560209728526,12.1874713897705
961247.08,320.147646375923,233.128492034385,12.8134202957153
961329.8,322.156337669097,233.691280462864,12.9424810409545
961360.9,316.466756766977,241.841082248692,12.774953842163
961396.45,313.220544229938,248.85818885635,12.7161598205566
961428.14,311.493397974217,251.420703232089,12.7415513992309
961460.59,307.899730863658,251.202583526633,12.8277540206909
961489.85,303.82993753622,245.946446260013,12.6736307144165
961521.99,304.0927004581,232.847986192388,12.9470443725585
961551.52,301.340232440182,224.968151418454,12.4727439880371
961588.85,297.818124564808,221.425043689227,12.634220123291
961606.62,296.919490353845,219.261714227948,12.8221750259399
961623.66,301.201498241125,222.225253873136,12.2864627838134
961646.03,300.694846111337,226.724260000353,12.6617860794067
961729.89,301.795891832744,232.252246549798,12.434663772583
961761.13,301.315170630802,238.82305805217,12.7478885650634
961797.22,303.26669245547,242.936018440484,12.8367948532104
961824.87,307.124971663779,246.47165459294,12.7671146392822
961855.76,314.157934588148,249.766175818112,12.9632091522216
961894.7,327.011988439322,252.163773453762,12.7393913269042
961919.57,338.754454866757,253.187062615827,12.7174043655395
961954.24,347.461969679824,257.511452651035,12.9350137710571
961987.98,350.652983825489,256.784296328637,12.5814199447631
962004.88,352.454878189795,255.63677526778,12.5510072708129
962021.54,346.273796635679,252.860629926631,12.920536994934
962047.12,342.517547625698,249.402497128579,12.8166675567626
962130.61,336.076434049053,246.302978289205,12.8854894638061
962166.55,329.843861837026,246.551811298857,12.6172685623168
962194.76,324.459762328585,248.032197672494,12.8049087524414
962226.06,322.863633635393,249.844630736061,12.5486183166503
962255.67,321.390180500355,250.274712811498,12.8078556060791
962289.78,325.428951775038,250.938865731859,12.7014541625976
962324.19,328.997054431859,249.971132714331,12.6686668395996
962352.6,332.709253994416,249.542263287798,12.4483251571655
962385,335.297179537288,249.401906061605,12.7020263671875
962402.18,338.373154828874,249.490339344486,12.4789810180664
962420.31,339.054377018754,247.797854395077,12.6998805999755
962450.82,339.023469931703,247.532091780591,12.5215673446655
962531.79,339.338619595284,247.306391265665,12.5881004333496
962561.37,336.688720664231,247.230142224563,12.531509399414
962593.45,334.976023326521,247.589128345936,12.3622512817382
962630.29,333.401961218044,248.272217002395,12.5040006637573
962657.31,332.806496423231,249.198891017359,12.4605274200439
962691.49,331.499049332836,251.44378347524,12.4878931045532
962720.54,330.184612871459,253.228924778298,12.6229190826416
962751.21,326.894839090019,254.228702561106,12.4397420883178
962790.04,323.801213328982,254.80014588195,12.7385187149047
962804.83,325.108573370357,255.393171555398,12.535343170166
962822.26,325.123026117185,255.021246615505,12.8421306610107
962847.37,332.746228438114,254.338441790752,12.5077486038208
962928.98,339.766112685757,253.647311125677,12.6637458801269
962962.48,347.75789449358,252.829080619748,12.4889373779296
962997.35,354.953201182274,253.255610781746,12.515959739685
963024.54,362.703170639348,252.972179419421,12.4957180023193
963056.04,368.025758601869,252.716574670057,12.5904893875122
963087.93,372.088007523081,253.645278438832,12.5354290008544
963126.21,376.862890517653,252.738146876985,12.4377250671386
963153.85,380.806962414245,249.749925381401,12.572922706604
963184.11,386.902940943132,248.988489410969,12.5998306274414
963199.11,391.639551453052,247.932289055022,12.5778865814208
963218.79,401.885722642203,247.479741251606,12.458438873291
963248.4,410.278700316761,246.298530215217,12.5282335281372
963329.07,416.882183024676,247.034635516713,12.1489334106445
963360.51,425.416791285892,245.441713166438,12.5009393692016
963393.4,432.393331391877,245.01913686803,12.5721216201782
963428.5,434.192832478456,241.127110642081,12.5069904327392
963459.95,438.018776974154,241.546302404234,12.1427822113037
963488.49,444.40313417506,239.644570410756,12.6064109802246
963522.78,443.962377047925,240.693417434322,12.604694366455
963552.34,439.631334074705,239.412407871313,12.3600769042968
963584.71,434.110344420339,239.512486665644,12.4234771728515
963600.03,428.851103969394,237.840601899874,12.6086139678955
963624.21,423.240466467509,239.537403785172,12.4827861785888
963649.96,419.600266663078,240.482565878818,12.5505352020263
963729.7,427.045688819388,241.609372126562,12.296118736267
963763.96,444.083926859366,244.776300149637,12.316575050354
963798.01,457.229943640585,249.209565217432,12.1250438690185
963823.79,468.02838452979,250.523286539707,12.4595689773559
963857.67,479.576707564184,250.841167026518,12.3439693450927
963890.88,485.397821446924,252.945978547479,12.13312625885
963922.21,479.556321356362,253.435158326031,12.2760343551635
963953.94,487.503049876274,251.412618806032,12.3772144317626
963982.26,499.941554419719,251.247336460073,11.9097805023193
963999.75,516.08537669523,248.011801663933,12.3034715652465
964028.06,531.545047305259,248.277854887701,11.7675447463989
964048.68,551.815984997479,248.434962470576,12.0557928085327
964133.64,560.822965425397,246.510782785687,12.1673870086669
964160.28,563.880894333216,244.441061491251,11.9535255432128
964192.96,564.224687415406,245.308715696535,12.0476531982421
964227.46,565.723596393244,243.69989352143,11.7109251022338
964254.3,568.109756033942,242.515977349848,11.8474245071411
964293.96,574.811979906165,242.906827930614,12.1626663208007
964319.91,582.032093672596,242.267559274759,12.1804618835449
964352.5,589.500370181408,241.91626162623,12.2457790374755
964387.96,597.842681010149,241.239209082194,12.1752262115478
