moji,x,y,true_label,line,sflag
伍,992,485,1,8,0
に,1019,485,0,8,0
加,263,525,0,9,0
わ,290,525,0,9,0
る,317,525,0,9,0
こ,344,525,0,9,0
と,371,525,0,9,0
だ,398,525,0,9,0
け,425,525,0,9,0
が,452,525,0,9,0
正,479,525,0,9,0
解,506,525,0,9,0
で,533,525,0,9,0
は,560,525,0,9,0
な,587,525,0,9,0
い,614,525,0,9,0
と,641,525,0,9,0
私,668,525,0,9,0
は,695,525,0,9,0
気,722,525,0,9,0
づ,749,525,0,9,0
い,776,525,0,9,0
た,803,525,0,9,0
。,830,525,0,9,1
