moji,x,y,true_label
僕,263,165,0
の,290,165,0
日,317,165,0
課,344,165,0
は,371,165,0
、,398,165,0
畑,425,165,0
中,452,165,0
を,479,165,0
お,506,165,0
散,533,165,0
歩,560,165,0
す,587,165,0
る,614,165,0
こ,641,165,0
と,668,165,0
だ,695,165,0
。,722,165,0
畑,749,165,0
に,776,165,0
は,803,165,0
縞,830,165,0
目,857,165,0
の,884,165,0
よ,911,165,0
う,938,165,0
に,965,165,0
野,992,165,0
菜,1019,165,0
が,263,205,0
並,290,205,0
び,317,205,0
、,344,205,0
薄,371,205,1
原,398,205,1
の,425,205,0
心,452,205,0
地,479,205,0
よ,506,205,0
い,533,205,0
香,560,205,0
り,587,205,0
が,614,205,0
す,641,205,0
る,668,205,0
。,695,205,0
あ,722,205,0
る,749,205,0
日,776,205,0
、,803,205,0
防,830,205,0
炎,857,205,0
シ,884,205,0
ー,911,205,0
ト,938,205,0
を,965,205,0
か,992,205,0
ぶ,1019,205,0
っ,263,245,0
た,290,245,0
小,317,245,0
屋,344,245,0
の,371,245,0
そ,398,245,0
ば,425,245,0
で,452,245,0
、,479,245,0
お,506,245,0
母,533,245,0
さ,560,245,0
ん,587,245,0
が,614,245,0
「,641,245,0
今,668,245,0
日,695,245,0
は,722,245,0
炊,749,245,0
き,776,245,0
立,803,245,0
て,830,245,0
ご,857,245,0
飯,884,245,0
よ,911,245,0
」,938,245,0
と,965,245,0
呼,992,245,0
ぶ,1019,245,0
声,263,285,0
が,290,285,0
し,317,285,0
た,344,285,0
。,371,285,0
僕,398,285,0
は,425,285,0
う,452,285,0
れ,479,285,0
し,506,285,0
く,533,285,0
て,560,285,0
走,587,285,0
っ,614,285,0
て,641,285,0
い,668,285,0
く,695,285,0
途,722,285,0
中,749,285,0
、,776,285,0
怪,803,285,0
し,830,285,0
い,857,285,0
影,884,285,0
を,911,285,0
見,938,285,0
つ,965,285,0
け,992,285,0
た,1019,285,0
ん,263,325,0
だ,290,325,0
。,317,325,0
ど,344,325,0
う,371,325,0
や,398,325,0
ら,425,325,0
畑,452,325,0
を,479,325,0
荒,506,325,0
ら,533,325,0
す,560,325,0
イ,587,325,0
タ,614,325,0
チ,641,325,0
な,668,325,0
ど,695,325,0
の,722,325,0
間,749,325,1
者,776,325,1
ら,803,325,0
し,830,325,0
い,857,325,0
。,884,325,0
僕,911,325,0
は,938,325,0
ワ,965,325,0
ン,992,325,0
ワ,1019,325,0
ン,263,365,0
吠,290,365,0
え,317,365,0
て,344,365,0
追,371,365,0
い,398,365,0
払,425,365,0
っ,452,365,0
て,479,365,0
や,506,365,0
っ,533,365,0
た,560,365,0
！,587,365,0
家,614,365,0
に,641,365,0
帰,668,365,0
る,695,365,0
と,722,365,0
、,749,365,0
ご,776,365,0
近,803,365,0
所,830,365,0
さ,857,365,0
ん,884,365,0
た,911,365,0
ち,938,365,0
が,965,365,0
連,992,365,1
辞,1019,365,1
と,263,405,0
な,290,405,0
っ,317,405,0
て,344,405,0
、,371,405,0
畑,398,405,0
を,425,405,0
守,452,405,0
る,479,405,0
た,506,405,0
め,533,405,0
の,560,405,0
情,587,405,0
報,614,405,0
を,641,405,0
伝,668,405,0
え,695,405,0
合,722,405,0
っ,749,405,0
て,776,405,0
い,803,405,0
る,830,405,0
。,857,405,0
僕,884,405,0
も,911,405,0
そ,938,405,0
の,965,405,0
輪,992,405,0
に,1019,405,0
加,263,445,0
わ,290,445,0
っ,317,445,0
て,344,445,0
、,371,445,0
畑,398,445,0
中,425,445,0
を,452,445,0
見,479,445,0
守,506,445,0
る,533,445,0
の,560,445,0
が,587,445,0
自,614,445,0
慢,641,445,0
だ,668,445,0
。,695,445,0
パ,722,445,0
ト,749,445,0
ロ,776,445,0
ー,803,445,0
ル,830,445,0
中,857,445,0
は,884,445,0
皮,911,445,1
籠,938,445,1
を,965,445,0
持,992,445,0
っ,1019,445,0
た,263,485,0
お,290,485,0
ば,317,485,0
あ,344,485,0
さ,371,485,0
ん,398,485,0
や,425,485,0
、,452,485,0
石,479,485,0
の,506,485,0
そ,533,485,0
ば,560,485,0
の,587,485,0
銭,614,485,1
苔,641,485,1
、,668,485,0
草,695,485,0
む,722,485,0
ら,749,485,0
に,776,485,0
残,803,485,0
る,830,485,0
花,857,485,1
殻,884,485,1
な,911,485,0
ど,938,485,0
、,965,485,0
い,992,485,0
ろ,1019,485,0
ん,263,525,0
な,290,525,0
風,317,525,0
景,344,525,0
に,371,525,0
出,398,525,0
会,425,525,0
う,452,525,0
。,479,525,0
今,506,525,0
日,533,525,0
も,560,525,0
僕,587,525,0
は,614,525,0
畑,641,525,0
の,668,525,0
平,695,525,0
和,722,525,0
を,749,525,0
守,776,525,0
っ,803,525,0
て,830,525,0
い,857,525,0
る,884,525,0
！,911,525,0
