moji,x,y,true_label
町,263,165,0
の,290,165,0
カ,317,165,0
フ,344,165,0
ェ,371,165,0
で,398,165,0
、,425,165,0
新,452,165,0
人,479,165,0
ス,506,165,0
タ,533,165,0
ッ,560,165,0
フ,587,165,0
が,614,165,0
操,641,165,0
作,668,165,0
を,695,165,0
誤,722,165,0
り,749,165,0
、,776,165,0
マ,803,165,0
シ,830,165,0
ン,857,165,0
の,884,165,0
圧,911,165,0
力,938,165,0
が,965,165,0
暴,992,165,0
発,1019,165,0
し,263,205,0
た,290,205,0
。,317,205,0
激,344,205,0
流,371,205,0
の,398,205,0
よ,425,205,0
う,452,205,0
に,479,205,0
フ,506,205,0
ォ,533,205,0
ー,560,205,0
ム,587,205,0
が,614,205,0
あ,641,205,0
ふ,668,205,0
れ,695,205,0
出,722,205,0
し,749,205,0
、,776,205,0
厨,803,205,0
房,830,205,0
は,857,205,0
一,884,205,0
瞬,911,205,0
騒,938,205,0
然,965,205,0
と,992,205,0
な,1019,205,0
る,263,245,0
。,290,245,0
先,317,245,0
輩,344,245,0
は,371,245,0
反,398,245,1
切,425,245,1
し,452,245,0
た,479,245,0
手,506,245,0
順,533,245,0
書,560,245,0
を,587,245,0
め,614,245,0
く,641,245,0
り,668,245,0
な,695,245,0
が,722,245,0
ら,749,245,0
、,776,245,0
壁,803,245,0
際,830,245,0
の,857,245,0
小,884,245,0
さ,911,245,0
な,938,245,0
玉,965,245,1
櫛,992,245,1
笥,1019,245,1
へ,263,285,0
駆,290,285,0
け,317,285,0
寄,344,285,0
り,371,285,0
、,398,285,0
慣,425,285,0
れ,452,285,0
た,479,285,0
手,506,285,0
つ,533,285,0
き,560,285,0
で,587,285,0
工,614,285,0
具,641,285,0
を,668,285,0
取,695,285,0
り,722,285,0
出,749,285,0
し,776,285,0
た,803,285,0
。,830,285,0
マ,857,285,0
シ,884,285,0
ン,911,285,0
の,938,285,0
ゆ,965,285,0
る,992,285,0
ん,1019,285,0
だ,263,325,0
部,290,325,0
分,317,325,0
を,344,325,0
し,371,325,0
っ,398,325,0
か,425,325,0
り,452,325,0
締,479,325,0
め,506,325,0
直,533,325,0
す,560,325,0
と,587,325,0
、,614,325,0
圧,641,325,0
力,668,325,0
は,695,325,0
元,722,325,0
に,749,325,0
戻,776,325,0
り,803,325,0
、,830,325,0
泡,857,325,0
の,884,325,0
噴,911,325,0
き,938,325,0
出,965,325,0
し,992,325,0
も,1019,325,0
収,263,365,0
ま,290,365,0
っ,317,365,0
た,344,365,0
。,371,365,0
空,398,365,1
木,425,365,1
の,452,365,0
カ,479,365,0
ウ,506,365,0
ン,533,365,0
タ,560,365,0
ー,587,365,0
越,614,365,0
し,641,365,0
に,668,365,0
聞,695,365,0
こ,722,365,0
え,749,365,0
た,776,365,0
騒,803,365,0
音,830,365,0
は,857,365,0
客,884,365,0
席,911,365,0
に,938,365,0
筒,965,365,0
抜,992,365,0
け,1019,365,0
だ,263,405,0
っ,290,405,0
た,317,405,0
が,344,405,0
、,371,405,0
特,398,405,1
待,425,405,1
の,452,405,0
マ,479,405,0
ネ,506,405,0
ー,533,405,0
ジ,560,405,0
ャ,587,405,0
ー,614,405,0
は,641,405,0
憐,668,405,1
憫,695,405,1
の,722,405,0
笑,749,405,0
み,776,405,0
を,803,405,0
浮,830,405,0
か,857,405,0
べ,884,405,0
、,911,405,0
落,938,405,0
ち,965,405,0
着,992,405,0
い,1019,405,0
た,263,445,0
口,290,445,0
調,317,445,0
で,344,445,0
状,371,445,0
況,398,445,0
を,425,445,0
収,452,445,0
め,479,445,0
た,506,445,0
。,533,445,0
入,560,445,0
り,587,445,0
口,614,445,0
の,641,445,0
七,668,445,1
竈,695,445,1
は,722,445,0
、,749,445,0
店,776,445,0
主,803,445,0
の,830,445,0
故,857,445,0
地,884,445,0
か,911,445,0
ら,938,445,0
届,965,445,0
い,992,445,0
た,1019,445,0
も,263,485,0
の,290,485,0
だ,317,485,0
っ,344,485,0
た,371,485,0
。,398,485,0
思,425,485,0
い,452,485,0
出,479,485,0
に,506,485,0
守,533,485,0
ら,560,485,0
れ,587,485,0
る,614,485,0
よ,641,485,0
う,668,485,0
に,695,485,0
、,722,485,0
カ,749,485,0
フ,776,485,0
ェ,803,485,0
は,830,485,0
再,857,485,0
び,884,485,0
静,911,485,0
け,938,485,0
さ,965,485,0
を,992,485,0
取,1019,485,0
り,263,525,0
戻,290,525,0
し,317,525,0
た,344,525,0
。,371,525,0
