time,x,y,left_dist
365867,313.576770408538,375.839456827592,10.3253173828125
365905.43,326.121857677351,375.122569270638,10.4174995422363
365931.47,341.039948943669,374.322289101644,10.4563236236572
365963.38,354.655856966676,371.307216057012,10.413007736206
365999.01,359.936795644212,372.121642048392,10.4955196380615
366027.92,357.187245323297,373.080504572161,10.5650424957275
366084.86,353.07519629607,375.174922558817,10.2439498901367
366107.86,347.630048416278,373.431030862182,10.468053817749
366140.74,341.698902591467,371.965664170058,10.7183933258056
366171.81,336.864975763862,368.816508482144,10.6567955017089
366205.44,336.199090551284,363.288534451195,10.4969501495361
366239.49,335.658957004653,359.039585060303,10.8338928222656
366273.33,335.326858510652,355.472188119891,10.6228351593017
366301.09,336.23635069527,353.60079617134,10.6114482879638
366331.24,336.747346689626,353.626552347031,10.5914211273193
366365.27,337.104100481818,357.588069835971,10.5484199523925
366401.9,336.815326971239,360.340928387366,10.4792118072509
366430.38,336.248618280669,364.676466818419,10.3500366210937
366476.15,334.15122481823,369.337552447884,10.4907989501953
366513.13,335.812172953231,371.765414071507,10.5656433105468
366541.4,341.198785037762,370.306689300496,10.5586051940917
366574.36,348.770540685782,367.734327399146,10.3821372985839
366603.54,359.839624726104,366.425661538853,10.5691051483154
366639,371.431006516891,363.088623566846,10.4221630096435
366668.19,380.702143647912,361.08221103983,10.7315254211425
366699.74,383.381712582706,361.551582429235,10.5933380126953
366737.05,384.651668233276,360.768938962098,10.6286430358886
366764.62,387.529718174334,359.965999991015,10.4174995422363
366797.53,392.008850186445,360.165147056765,10.4180717468261
366833.61,396.408868514336,360.880049932675,10.2766227722167
366877.82,405.080073403273,360.110036196184,10.6942176818847
366909.96,413.633865806643,362.590011141324,10.3274059295654
366946.46,418.656669742569,364.253638303722,10.2154827117919
366974.33,419.409468391309,365.217251146521,10.5900764465332
367005.57,418.326736522599,368.085560880074,10.5895042419433
367037.26,418.249660278086,373.723418565973,10.6430625915527
367070.22,418.281066932121,378.072099071811,10.6064701080322
367104.49,417.222639732188,381.522430856675,10.4407882690429
367132.81,418.973723915818,382.624384042056,10.3935241699218
367162.95,416.786645164975,377.84189172749,10.4965782165527
367196.72,407.529956660912,370.207505009033,10.4872798919677
367234.02,395.738633439068,361.688407515569,10.3914642333984
367276.27,384.249774984502,353.008666710587,10.4790115356445
367310.52,370.820380954453,347.500562240614,10.5586624145507
367344.69,361.259081624424,344.175635732138,10.5502796173095
367372.42,359.001284553798,341.699503439263,10.7670021057128
367407.69,372.729826377153,343.361756508709,10.7691192626953
367440.16,395.905190693525,347.362084919284,10.6299877166748
367467.53,427.375584795673,352.325187924764,10.5939674377441
367500.91,460.840516883644,354.77432248319,10.737018585205
367534.96,492.919960888891,355.314172668203,10.8241367340087
